region_type,region,year,week,weighted_ili,unweighted_ili,age_0_4,age_25_49,age_25_64,age_5_24,age_50_64,age_65,ilitotal,num_of_providers,total_patients,week_start
National,National,2017,40,1.26839,1.27967,3852,2502,NA,4566,1075,877,12872,2226,1005881,2017-10-02
National,National,2017,41,1.30548,1.32949,4119,2686,NA,4463,1078,952,13298,2252,1000234,2017-10-09
National,National,2017,42,1.3427,1.40743,4416,2823,NA,5007,1142,976,14364,2273,1020587,2017-10-16
National,National,2017,43,1.51794,1.56987,5012,2927,NA,5539,1327,1055,15860,2272,1010276,2017-10-23
National,National,2017,44,1.74744,1.70028,5222,3301,NA,6139,1368,1065,17095,2228,1005422,2017-10-30
National,National,2017,45,1.88853,1.8622,6131,3616,NA,6682,1525,1132,19086,2294,1024918,2017-11-06
National,National,2017,46,2.06095,2.07067,6887,4252,NA,7590,1807,1396,21932,2302,1059176,2017-11-13
National,National,2017,47,2.28181,2.33331,6958,3855,NA,5888,1711,1451,19863,2277,851281,2017-11-20
National,National,2017,48,2.28695,2.24414,7016,5253,NA,7482,2211,1834,23796,2284,1060364,2017-11-27
National,National,2017,49,2.58575,2.49151,7233,5059,NA,8500,2340,1864,24996,2278,1003246,2017-12-04
National,National,2017,50,3.36708,3.19492,8291,6678,NA,11267,2965,2338,31539,2268,987160,2017-12-11
National,National,2017,51,4.73798,4.43089,10458,9864,NA,14172,4583,3743,42820,2215,966397,2017-12-18
National,National,2017,52,5.71443,5.45339,11354,11533,NA,11556,5760,5129,45332,2137,831263,2017-12-25
National,National,2018,1,5.75038,5.3516,9418,13407,NA,11725,6885,5910,47345,2247,884688,2018-01-08
National,National,2018,2,5.90199,5.52244,10071,15411,NA,17371,7788,6219,56860,2261,1029617,2018-01-15
National,National,2018,3,6.52421,6.33809,12019,16048,NA,21926,7590,5587,63170,2291,996672,2018-01-22
National,National,2018,4,7.16959,7.01743,13449,18400,NA,30662,8941,6106,77558,2293,1105219,2018-01-29
National,National,2018,5,7.52739,7.77912,14879,19136,NA,37266,8952,5974,86207,2280,1108185,2018-02-05
National,National,2018,6,7.39178,7.76959,15221,19590,NA,38657,8645,5922,88035,2304,1133072,2018-02-12
National,National,2018,7,6.45129,6.81357,13399,17258,NA,32193,8105,5473,76428,2232,1121702,2018-02-19
National,National,2018,8,4.96506,5.16365,10191,12493,NA,20509,5831,4201,53225,2277,1030763,2018-02-26
National,National,2018,9,3.6913299999999998,3.5755,7226,8518,NA,13415,4123,2905,36187,2210,1012082,2018-03-05
National,National,2018,10,3.19173,3.0168,6383,6508,NA,10866,3143,2309,29209,2217,968210,2018-03-12
National,National,2018,11,2.77474,2.74038,5598,5944,NA,9476,2831,2154,26003,2203,948884,2018-03-19
National,National,2018,12,2.49162,2.48762,5231,5428,NA,8657,2570,1990,23876,2183,959793,2018-03-26
National,National,2018,13,2.41681,2.37392,4734,4734,NA,7236,2305,1756,20765,2143,874714,2018-04-02
National,National,2018,14,2.08454,2.05043,4559,4470,NA,6244,2163,1707,19143,2123,933610,2018-04-09
National,National,2018,15,1.79299,1.82107,4150,3758,NA,5512,1827,1449,16696,2081,916824,2018-04-16
National,National,2018,16,1.62334,1.59927,3848,3216,NA,5255,1427,1108,14854,2104,928797,2018-04-23
National,National,2018,17,1.54893,1.55511,3732,3035,NA,5336,1378,1104,14585,2075,937874,2018-04-30
National,National,2018,18,1.53211,1.45286,3661,2607,NA,4815,1223,1001,13307,2009,915916,2018-05-07
National,National,2018,19,1.29784,1.28888,3449,2202,NA,4147,936,905,11639,1921,903029,2018-05-14
National,National,2018,20,1.19224,1.23191,3366,2244,NA,3769,905,800,11084,1959,899743,2018-05-21
National,National,2018,21,1.23204,1.24124,3354,2068,NA,3379,882,863,10546,1846,849636,2018-05-28
National,National,2018,22,1.15429,1.23688,3197,1805,NA,2965,844,732,9543,1750,771538,2018-06-04
National,National,2018,23,0.965303,1.05577,2783,1771,NA,2460,756,640,8410,1684,796578,2018-06-11
National,National,2018,24,0.890981,0.992361,2322,1542,NA,2145,661,639,7309,1631,736526,2018-06-18
National,National,2018,25,0.859557,0.94343,2158,1441,NA,2005,644,550,6798,1557,720562,2018-06-25
National,National,2018,26,0.84564,0.868343,2018,1436,NA,1782,599,579,6414,1491,738648,2018-07-02
National,National,2018,27,0.794263,0.839129,1848,1209,NA,1705,479,499,5740,1508,684043,2018-07-09
National,National,2018,28,0.709792,0.793754,1722,1276,NA,1679,538,507,5722,1421,720878,2018-07-16
